textLength  	patternLength	k-value     	elapsedTime 	memUsage  
50          	25          	4           	0           	11510308  
250         	25          	4           	5           	15975092
5000        	25          	4           	69          	85230400     
1000        	25          	4           	41          	24660759    
10000       	25          	4           	143         	112745020
50000       	25          	4           	699         	159100166   
500000      	25          	4           	7003        	348395385 
100000      	25          	4           	1356        	219034406   
1000000     	25          	4           	13635       	351610900      
2500000     	25          	4           	35186       	336289499        
